Date,Receipt_ID,Product_Name,Brand_Name,Category,Quantity,Selling_Price,Cost_Price,Stock_For_Month
02/01/2023,REC-RKd-9510,Coffee,Aussie Roast,Beverages,3,4.74,3.94,63
02/01/2023,REC-VUc-8090,Coffee,Urban Brew,Beverages,1,3.78,3.04,78
02/01/2023,REC-snw-3554,Chips,Crunchy Bites,Snacks,1,3.28,2.64,197
02/01/2023,REC-iYh-1591,Sugar,Sweet Stuff,Pantry,2,4.93,3.67,142
02/01/2023,REC-cZi-2963,Yogurt,Creamy Delights,Dairy,4,3.61,2.81,122
04/01/2023,REC-WLt-7990,Chips,Salt & Crunch,Snacks,1,4.9,3.77,81
05/01/2023,REC-BeA-0855,Cheese,Gourmet Gold,Dairy,5,2.92,2.37,86
05/01/2023,REC-lHu-8549,Coffee,Bean Supreme,Beverages,1,3.78,2.96,160
05/01/2023,REC-eea-0917,Salt,Aussie Salt,Pantry,4,5.85,4.58,57
06/01/2023,REC-jmP-8048,Laundry Detergent,Clean Wave,Household,3,11.5,9.76,87
06/01/2023,REC-CYw-2696,Coffee,Bean Supreme,Beverages,5,5.62,4.44,81
06/01/2023,REC-TnW-8198,Laundry Detergent,Aussie Wash,Household,5,5.69,4.5,108
07/01/2023,REC-RWz-0126,Lettuce,Crisp Greens,Produce,1,4.51,3.43,72
07/01/2023,REC-ZSV-1405,Lettuce,Crisp Greens,Produce,4,2.2,1.67,133
08/01/2023,REC-Ajh-8908,Biscuits,Aussie Bakes,Snacks,1,3.98,3.08,172
08/01/2023,REC-han-4225,Pasta,Pasta Perfection,Pantry,4,5.14,3.91,103
09/01/2023,REC-DQC-2764,Tea Bags,Bushland Brews,Beverages,5,3.16,2.49,66
11/01/2023,REC-AlO-1799,Cheese,Blockbuster Cheeses,Dairy,5,4.97,4.24,76
11/01/2023,REC-aLz-3665,Canned Beans,Hearty Harvest,Pantry,3,6.3,4.66,96
11/01/2023,REC-fOD-8693,Beef Mince,Farm Fresh Meats,Meat,2,10.55,8.92,170
11/01/2023,REC-BdL-7370,Sugar,Sweet Stuff,Pantry,3,5.65,5.12,91
12/01/2023,REC-eDI-2817,Cheese,Blockbuster Cheeses,Dairy,2,4.59,3.31,109
12/01/2023,REC-mfc-7235,Pasta,Pasta Perfection,Pantry,2,2.4,2.17,61
12/01/2023,REC-xdF-3126,Pasta,Italian Kitchen,Pantry,2,4.46,3.29,148
12/01/2023,REC-WSD-6318,Coffee,Aussie Roast,Beverages,5,6.09,4.62,170
12/01/2023,REC-aXZ-6282,Lettuce,Crisp Greens,Produce,5,2.0,1.45,124
12/01/2023,REC-LUk-6890,Canned Tomatoes,Hearty Harvest,Pantry,5,6.87,5.16,178
12/01/2023,REC-Ecz-2896,Canned Tomatoes,Hearty Harvest,Pantry,2,7.08,6.23,170
13/01/2023,REC-vBt-4396,Laundry Detergent,Fresh Scent,Household,5,7.47,6.74,150
13/01/2023,REC-pRn-1101,Lettuce,Crisp Greens,Produce,5,2.57,2.06,189
13/01/2023,REC-aeI-5575,Bananas,Tropical Treat,Produce,5,3.66,2.99,84
13/01/2023,REC-YDZ-9011,Biscuits,Cookie Crumble,Snacks,4,3.62,2.61,69
13/01/2023,REC-tGz-0920,Soft Drink,Sparkle Beverages,Beverages,1,3.65,3.18,196
13/01/2023,REC-qgZ-8457,Eggs,Golden Yolk,Dairy,5,3.06,2.78,159
13/01/2023,REC-Yqf-3337,Paper Towels,Quick Dry,Household,4,9.7,8.58,162
13/01/2023,REC-ukC-9132,Milk,Farmers Choice,Dairy,1,5.69,4.92,97
13/01/2023,REC-Rad-2356,Pasta,Grainfield Co.,Pantry,4,6.14,4.89,189
13/01/2023,REC-mnk-9746,Paper Towels,Handy Wipes,Household,5,10.84,8.03,59
14/01/2023,REC-PlM-6786,Chicken Breast,Prime Cuts,Meat,3,20.24,14.6,109
14/01/2023,REC-wDr-3715,Olive Oil,Mediterranean Harvest,Pantry,2,3.25,2.64,137
14/01/2023,REC-nce-1109,Cereal,Healthy Start,Breakfast,1,3.54,3.08,85
15/01/2023,REC-ksc-3585,Cheese,Blockbuster Cheeses,Dairy,4,3.11,2.65,149
15/01/2023,REC-ipr-0147,Canned Beans,Simply Canned,Pantry,3,4.91,4.02,77
15/01/2023,REC-oGw-5135,Yogurt,Morning Bliss,Dairy,2,3.6,3.21,137
15/01/2023,REC-aRQ-5491,Laundry Detergent,Aussie Wash,Household,1,9.36,7.66,179
15/01/2023,REC-ImF-9369,Soft Drink,Sparkle Beverages,Beverages,4,3.94,2.84,69
15/01/2023,REC-UAX-4032,Bananas,Tropical Treat,Produce,4,2.36,1.77,190
15/01/2023,REC-oPY-5828,Eggs,Golden Yolk,Dairy,3,5.52,4.83,121
16/01/2023,REC-scb-2922,Cheese,Blockbuster Cheeses,Dairy,4,3.94,3.09,61
16/01/2023,REC-jeQ-5591,Dish Soap,Eco-Wash,Household,3,8.65,6.45,142
16/01/2023,REC-HKe-0240,Cheese,Australian Cheeses,Dairy,1,3.7,3.15,180
16/01/2023,REC-cYP-2488,Pasta,Pasta Perfection,Pantry,1,2.44,2.14,62
16/01/2023,REC-jHl-2889,Yogurt,Morning Bliss,Dairy,4,2.83,2.04,157
17/01/2023,REC-hCz-0074,Rice,Aussie Grains,Pantry,3,8.99,6.43,173
17/01/2023,REC-DnZ-1384,Juice,Fruit Burst,Beverages,3,4.86,3.56,76
